	X  , 	 Y,  		Z, 	  Z teorica ,	R_mode , Round_bit, Guard|Sticky , PASS , ovrf , udrf 
00000000, 00000000, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1 
b6c02ca4, f835ab11, 6f885ffb, 6f885ffa, 	 0, 		1, 			0, 			0, 		0, 		0 
462229b3, 85989b39, 8c41562b, 8c41562b, 	 0, 		0, 			1, 			1, 		0, 		0 
d565e896, 4bae7f95, e19cb6aa, e19cb6aa, 	 0, 		0, 			1, 			1, 		0, 		0 
ea8b4a57, ffb81f84, 7fc00000, 7fc00000, 	 0, 		0, 			0, 			0, 		1, 		0 
a9f9c1e5, c1fa67b8, 2c744c8a, 2c744c8a, 	 0, 		0, 			1, 			1, 		0, 		0 
34e02a77, f9af2e65, ef1965a7, ef1965a7, 	 0, 		0, 			1, 			1, 		0, 		0 
6107446f, 4048bd86, 61d42336, 61d42336, 	 0, 		0, 			0, 			1, 		0, 		0 
89632b58, a4521285, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1 
cdd16995, c0596106, 4eb1d1dd, 4eb1d1dd, 	 0, 		0, 			1, 			1, 		0, 		0 
be415bdf, b7d33307, 369f8543, 369f8543, 	 0, 		0, 			1, 			1, 		0, 		0 
ff800000, c95d3237, 7f800000, 7f800000, 	 0, 		0, 			0, 			1, 		1, 		0 
bd6d299e, 5517aeb0, d30c8562, d30c8562, 	 0, 		1, 			0, 			1, 		0, 		0 
ffa64fb2, 723e1494, 7fc00000, 7fc00000, 	 0, 		0, 			0, 			0, 		1, 		0 
ff800000, cc21b1f4, 7f800000, 7f800000, 	 0, 		0, 			0, 			1, 		1, 		0 
15aa21de, e6700fbd, bc9f8a36, bc9f8a36, 	 0, 		1, 			1, 			1, 		0, 		0 
7f800000, 94514e0c, ff800000, ff800000, 	 0, 		0, 			0, 			0, 		0, 		0 
1f02d258, 5b4398c7, 3ac7e897, 3ac7e897, 	 0, 		0, 			1, 			1, 		0, 		0 
8b4484f8, 6265fc0c, ae308c6e, ae308c6e, 	 0, 		1, 			1, 			1, 		0, 		0 
76c03b2d, d51191c0, ff800000, ff800000, 	 0, 		0, 			0, 			1, 		1, 		0 
72bb2090, 95566769, c89cb8cf, c89cb8cf, 	 0, 		0, 			1, 			1, 		0, 		0 
bd8aaea3, c0c2a296, 3ed2e0d7, 3ed2e0d6, 	 0, 		1, 			0, 			0, 		0, 		0 
7536bb29, a77f63e7, dd364bbd, dd364bbd, 	 0, 		0, 			0, 			1, 		0, 		0 
11cbaedb, 035adf43, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1 
7315aa0e, d377e8de, ff800000, ff800000, 	 0, 		0, 			0, 			1, 		1, 		0 
10c3b6de, c9fe2509, 9b424bc1, 9b424bc0, 	 0, 		1, 			0, 			0, 		0, 		0 
e790e165, d8e199ef, 7f800000, 7f800000, 	 0, 		0, 			0, 			1, 		1, 		0 
bcd49717, ae149606, 2b76c7de, 2b76c7de, 	 0, 		1, 			0, 			1, 		0, 		0 
64c08f85, ff994a1a, 7fc00000, 7fc00000, 	 0, 		0, 			0, 			0, 		1, 		0 
cd63a439, 5bcf2862, e9b835b3, e9b835b3, 	 0, 		1, 			1, 			1, 		0, 		0 
1b5b89df, c8e0bff6, a4c0bd42, a4c0bd42, 	 0, 		1, 			1, 			1, 		0, 		0 
a10cd0cf, 1d381f42, 80000000, 80000000, 	 0, 		0, 			0, 			1, 		0, 		1 
a5227baf, 55c7ef1d, bb7dcbd2, bb7dcbd2, 	 0, 		1, 			1, 			1, 		0, 		0 
ffb92237, 5f9579ea, 7fc00000, 7fc00000, 	 0, 		0, 			0, 			0, 		1, 		0 
3db77634, c4fdb7a1, c335d36a, c335d36a, 	 0, 		0, 			1, 			1, 		0, 		0 
3958ed01, 7f800000, 7f800000, 7f800000, 	 0, 		0, 			0, 			0, 		0, 		0 
4d39e125, 2388bcf8, 314691a2, 314691a2, 	 0, 		0, 			1, 			1, 		0, 		0 
dd990e0a, 900521e5, 2e1f311e, 2e1f311e, 	 0, 		1, 			1, 			1, 		0, 		0 
ca26b6c1, ec2437bd, 76d5e2c0, 76d5e2c0, 	 0, 		1, 			1, 			1, 		0, 		0 
7f8da0e6, 6536f46f, 7fc00000, 7fc00000, 	 0, 		0, 			0, 			0, 		1, 		0 
ff800000, 6c85f9fc, ff800000, ff800000, 	 0, 		0, 			0, 			1, 		1, 		0 
01d9585f, 4e40f7c6, 10a3d4a4, 10a3d4a4, 	 0, 		1, 			0, 			1, 		0, 		0 
42a88c60, fa4d0edd, fd870232, fd870232, 	 0, 		0, 			0, 			1, 		0, 		0 
9e304f67, 6e887f32, cd3c0391, cd3c0391, 	 0, 		0, 			0, 			1, 		0, 		0 
795d489f, 941aa325, ce05aab5, ce05aab5, 	 0, 		1, 			1, 			1, 		0, 		0 
c1782463, d4307722, 562b0c7e, 562b0c7e, 	 0, 		1, 			1, 			1, 		0, 		0 
846c3bca, 7f811b13, 7fc00000, 7fc00000, 	 0, 		0, 			0, 			1, 		0, 		0 
b44d72b3, 1f355f54, 94118e9a, 94118e9a, 	 0, 		1, 			0, 			1, 		0, 		0 
