	X  , 	 Y,  		Z, 	  Z teorica ,	R_mode , Round_bit, Guard|Sticky , PASS , ovrf , udrf 
00000000, 00000000, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1 
96007ac6, 973783f5, 00000000, 00000001, 	 3, 		0, 			0, 			0, 		0, 		1 
74d8949b, 71595a7e, 7f800000, 7f800001, 	 3, 		0, 			0, 			0, 		1, 		0 
457cdbdf, a8189440, ae16b4fa, ae16b4fa, 	 3, 		1, 			1, 			1, 		0, 		0 
2d32e53f, 53abef29, 41704c84, 41704c84, 	 3, 		1, 			0, 			1, 		0, 		0 
499f44d2, cf253beb, d94d9944, d94d9944, 	 3, 		1, 			1, 			1, 		0, 		0 
10314c8c, 2c0c5492, 00000000, 00000001, 	 3, 		0, 			0, 			0, 		0, 		1 
428d8226, c626a452, c9383a72, c9383a72, 	 3, 		1, 			1, 			1, 		0, 		0 
8462accc, 60b9b5a2, a5a46fb3, a5a46fb3, 	 3, 		0, 			0, 			1, 		0, 		0 
1c399fc0, 778de802, 544dca6e, 544dca6e, 	 3, 		1, 			1, 			1, 		0, 		0 
a300c021, ad75e866, 10f75982, 10f75982, 	 3, 		1, 			1, 			1, 		0, 		0 
d80ce1f4, 85736a2f, 1e05f4eb, 1e05f4eb, 	 3, 		0, 			0, 			1, 		0, 		0 
7c765407, a7df36bb, e4d6c7db, e4d6c7db, 	 3, 		1, 			1, 			1, 		0, 		0 
f7405565, 03125eeb, badbf007, badbf007, 	 3, 		0, 			0, 			1, 		0, 		0 
3a32d7bd, 2f63968c, 2a1efe79, 2a1efe79, 	 3, 		1, 			1, 			1, 		0, 		0 
0e67580d, b676f3f6, 855f2b13, 855f2b13, 	 3, 		0, 			1, 			1, 		0, 		0 
f20dfa24, a41df4ec, 56af347b, 56af347b, 	 3, 		1, 			1, 			1, 		0, 		0 
5de1248e, c324022f, e1903d56, e1903d56, 	 3, 		1, 			0, 			1, 		0, 		0 
349a0147, f763b7e1, ec88fdc0, ec88fdc0, 	 3, 		0, 			1, 			1, 		0, 		0 
84f1fab6, 9d540faa, 00000000, 00000001, 	 3, 		0, 			0, 			0, 		0, 		1 
2a02b918, c5416f16, afc58c89, afc58c89, 	 3, 		0, 			1, 			1, 		0, 		0 
34a75536, 5116d053, 46452833, 46452833, 	 3, 		0, 			1, 			1, 		0, 		0 
35c92d9c, 000da0de, 00000000, 00000001, 	 3, 		0, 			0, 			0, 		0, 		1 
65c7c50f, 6ffa168d, 7f800000, 7f800001, 	 3, 		0, 			0, 			0, 		1, 		0 
bc5b6798, fb5dce4f, 783e1940, 783e1940, 	 3, 		0, 			1, 			1, 		0, 		0 
a20d7fe0, 0e71dc4a, 80000000, 80000000, 	 3, 		0, 			0, 			1, 		0, 		1 
cdb870e2, 3dbde98a, cc08d399, cc08d399, 	 3, 		0, 			0, 			1, 		0, 		0 
c38d7687, cc714542, 508552db, 508552db, 	 3, 		1, 			0, 			1, 		0, 		0 
b6fea510, 2b81df64, a3012f62, a3012f62, 	 3, 		0, 			1, 			1, 		0, 		0 
ef9f69d7, 561bd610, ff800000, ff800000, 	 3, 		0, 			0, 			1, 		1, 		0 
e3a5c9b7, 02de483d, a70ff3b4, a70ff3b4, 	 3, 		1, 			1, 			1, 		0, 		0 
0de33618, b62eaac2, 849b0652, 849b0652, 	 3, 		0, 			1, 			1, 		0, 		0 
f505b59e, 63430d5b, ff800000, ff800000, 	 3, 		0, 			0, 			1, 		1, 		0 
53fed800, a2b37304, b732a387, b732a387, 	 3, 		0, 			0, 			1, 		0, 		0 
5c11130a, 5d2dd3a5, 79c5039c, 79c5039c, 	 3, 		1, 			1, 			1, 		0, 		0 
c42cb336, c56ef75a, 4a21357a, 4a21357a, 	 3, 		1, 			1, 			1, 		0, 		0 
e624fefe, 277e1a9c, ce23c626, ce23c626, 	 3, 		0, 			1, 			1, 		0, 		0 
9a1a6011, 22c15159, 80000000, 80000000, 	 3, 		0, 			0, 			1, 		0, 		1 
a596e030, 73e29524, da0589d0, da0589d0, 	 3, 		0, 			0, 			1, 		0, 		0 
b1d8ee98, a09aedb0, 130348f2, 130348f2, 	 3, 		0, 			1, 			1, 		0, 		0 
309a4ecc, 331b0c09, 243ae9ee, 243ae9ee, 	 3, 		0, 			1, 			1, 		0, 		0 
60eb8315, 3f72a531, 60df39e3, 60df39e3, 	 3, 		0, 			1, 			1, 		0, 		0 
