	X  , 	 Y,  		Z, 	  Z teorica ,	R_mode , Round_bit, Guard|Sticky , PASS , ovrf , udrf 
00000000, 00000000, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1 
ab7ead24, 9b3596ac, 0734a64f, 0734a64f, 	 4, 		0, 			0, 			1, 		0, 		0 
2fa61a68, 61613727, 519220fe, 519220fe, 	 4, 		0, 			1, 			1, 		0, 		0 
85190ad4, ee601bb0, 3405fa07, 3405fa07, 	 4, 		1, 			1, 			1, 		0, 		0 
d83dd4fa, 05e7254f, 9eab66d8, 9eab66d8, 	 4, 		1, 			1, 			1, 		0, 		0 
f090844a, 2556ffb9, d672bde4, d672bde4, 	 4, 		0, 			1, 			1, 		0, 		0 
92bbf247, 3c437289, 8f8f7da3, 8f8f7da3, 	 4, 		1, 			0, 			1, 		0, 		0 
97a3e17b, db67782c, 33942d64, 33942d64, 	 4, 		1, 			1, 			1, 		0, 		0 
c010259e, 15ded3c3, 967aefb8, 967aefb8, 	 4, 		1, 			1, 			1, 		0, 		0 
3b96523f, da91cb7a, d6ab3821, d6ab3821, 	 4, 		0, 			0, 			1, 		0, 		0 
62d7dcb2, 28d58dce, 4c341232, 4c341232, 	 4, 		0, 			1, 			1, 		0, 		0 
99bb9184, f3ba00b2, 4e08483c, 4e08483c, 	 4, 		0, 			1, 			1, 		0, 		0 
794300bb, 421c1852, 7bedcdf1, 7bedcdf1, 	 4, 		1, 			1, 			1, 		0, 		0 
4e77c223, 65528897, 744bc172, 744bc172, 	 4, 		1, 			1, 			1, 		0, 		0 
ca817d04, 235a0b84, ae5c9491, ae5c9491, 	 4, 		0, 			0, 			1, 		0, 		0 
c403cad5, 80f57bf6, 057cc1de, 057cc1de, 	 4, 		1, 			1, 			1, 		0, 		0 
8c3b8fb7, 69354ab8, b604d35b, b604d35b, 	 4, 		1, 			1, 			1, 		0, 		0 
0765e094, 986bce75, 80000000, 80000000, 	 4, 		0, 			0, 			1, 		0, 		1 
3e987bf6, 93022443, 921b0919, 921b0919, 	 4, 		1, 			0, 			1, 		0, 		0 
78f59bb5, c1587457, facfaaff, facfaaff, 	 4, 		1, 			1, 			1, 		0, 		0 
f80ba338, 1a4b0801, d2dd7d96, d2dd7d96, 	 4, 		0, 			0, 			1, 		0, 		0 
bb0bb2ed, c5cc9e69, 415f520d, 415f520d, 	 4, 		0, 			1, 			1, 		0, 		0 
bba60fbe, b5b1a73c, 31e67abb, 31e67abb, 	 4, 		0, 			0, 			1, 		0, 		0 
f777c79a, abf1be11, 63e9fadf, 63e9fadf, 	 4, 		1, 			0, 			1, 		0, 		0 
81e9e82a, 5dacfe30, a01e103c, a01e103c, 	 4, 		0, 			1, 			1, 		0, 		0 
0d898544, 49539309, 17634fa7, 17634fa7, 	 4, 		1, 			1, 			1, 		0, 		0 
a65fe90a, 78f7f4c8, dfd8dff2, dfd8dff2, 	 4, 		1, 			1, 			1, 		0, 		0 
7a3d91c0, 7c724f42, 7f800000, 7f800000, 	 4, 		0, 			0, 			1, 		1, 		0 
2ff1d365, 6d07dd37, 5d805772, 5d805772, 	 4, 		1, 			1, 			1, 		0, 		0 
b6705317, 71f8d3d0, e8e99756, e8e99756, 	 4, 		0, 			0, 			1, 		0, 		0 
bb45876f, 9e7e7bc4, 1a445bdf, 1a445bdf, 	 4, 		0, 			1, 			1, 		0, 		0 
901c4906, 2ec2d773, 80000000, 80000000, 	 4, 		0, 			0, 			1, 		0, 		1 
378fbea1, ccc2a46b, c4da9590, c4da9590, 	 4, 		0, 			1, 			1, 		0, 		0 
c24514cc, c50caa49, 47d894ef, 47d894ef, 	 4, 		0, 			1, 			1, 		0, 		0 
7fd10d05, fbcb891f, 7fc00000, ff800000, 	 4, 		0, 			0, 			0, 		1, 		0 
e3c664d9, 61d8e449, ff800000, ff800000, 	 4, 		0, 			0, 			1, 		1, 		0 
8f949415, 9fd69170, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
c1205315, 74041e28, f5a57b73, f5a57b73, 	 4, 		0, 			1, 			1, 		0, 		0 
e3190adb, aeb25683, 52553a88, 52553a88, 	 4, 		0, 			1, 			1, 		0, 		0 
ee535edd, 02e905ec, b1c0663b, b1c0663b, 	 4, 		1, 			1, 			1, 		0, 		0 
01caccae, 0a31479b, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
28b9b854, 6e4534b7, 578f1117, 578f1117, 	 4, 		1, 			1, 			1, 		0, 		0 
21e77bec, a1896df0, 83f88974, 83f88974, 	 4, 		0, 			1, 			1, 		0, 		0 
686d7d61, 27151374, 500a4c05, 500a4c05, 	 4, 		0, 			1, 			1, 		0, 		0 
5022c94c, 2fb6f815, 4068b1b9, 4068b1b9, 	 4, 		1, 			1, 			1, 		0, 		0 
f7f4b7c8, 34e6b071, ed5c85c8, ed5c85c8, 	 4, 		0, 			0, 			1, 		0, 		0 
3616e78e, 4e058594, 449d6a15, 449d6a15, 	 4, 		1, 			1, 			1, 		0, 		0 
a47aca21, c7adda9e, 2caa50c3, 2caa50c3, 	 4, 		0, 			1, 			1, 		0, 		0 
e64cf4a9, c5691fbb, 6c3aa415, 6c3aa415, 	 4, 		0, 			1, 			1, 		0, 		0 
aa685cbc, 65bb26d8, d0a9deff, d0a9deff, 	 4, 		0, 			1, 			1, 		0, 		0 
6bb94276, 4886eff5, 74c34ce0, 74c34ce0, 	 4, 		0, 			1, 			1, 		0, 		0 
970dbc80, 8401bd0c, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
2e437fc5, e189abf1, d052455e, d052455e, 	 4, 		1, 			1, 			1, 		0, 		0 
f3d5ed2d, 9dff32bd, 525541a6, 525541a6, 	 4, 		0, 			0, 			1, 		0, 		0 
10c185f0, 959cf749, 80000000, 80000000, 	 4, 		0, 			0, 			1, 		0, 		1 
c0bada34, c04e55a3, 41969a17, 41969a17, 	 4, 		0, 			1, 			1, 		0, 		0 
309c3c56, b2cbea3b, a3f8e597, a3f8e597, 	 4, 		1, 			1, 			1, 		0, 		0 
7b7c4e9a, 409b8bb8, 7c994d4b, 7c994d4b, 	 4, 		0, 			1, 			1, 		0, 		0 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
96f2d9d2, a7997aaf, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1 
