	X  , 	 Y,  		Z, 	  Z teorica ,	R_mode , Round_bit, Guard|Sticky , PASS , ovrf , udrf 
00000000, 00000000, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1 
ae93b1fe, 3bc8d1c3, aae7b826, aae7b826, 	 1, 		1, 			0, 			1, 		0, 		0 
73d32df3, 81e59495, b63d62ab, b63d62ab, 	 1, 		1, 			1, 			1, 		0, 		0 
4d8160da, 8ba8219c, 99a9f116, 99a9f116, 	 1, 		1, 			1, 			1, 		0, 		0 
6ee50622, 73156797, 7f800000, 7f800000, 	 1, 		0, 			0, 			1, 		1, 		0 
0d99baa8, 8ba1ea1e, 80000000, 80000000, 	 1, 		0, 			0, 			1, 		0, 		1 
a4dbf1e7, 3d386c1d, a29e72c0, a29e72c0, 	 1, 		1, 			1, 			1, 		0, 		0 
3e13729c, 85704a58, 840a6644, 840a6644, 	 1, 		0, 			0, 			1, 		0, 		0 
1a066f34, 2520bed5, 00000000, 00000000, 	 1, 		0, 			0, 			1, 		0, 		1 
e41718c9, fff7dfd9, 7fc00000, 7f800000, 	 1, 		0, 			0, 			0, 		1, 		0 
fc0a7e14, a5b0208c, 623e9092, 623e9092, 	 1, 		0, 			1, 			1, 		0, 		0 
d72019a2, a938ece3, 40e74d24, 40e74d24, 	 1, 		0, 			0, 			1, 		0, 		0 
86cff269, 60e5ffea, a83ad3b8, a83ad3b8, 	 1, 		0, 			1, 			1, 		0, 		0 
6c9b06c9, 471e11ee, 743f7217, 743f7217, 	 1, 		0, 			1, 			1, 		0, 		0 
ba3adf47, 5b3a5acf, d6080883, d6080883, 	 1, 		0, 			1, 			1, 		0, 		0 
b6fdb4bb, 35b385bc, ad31e9e7, ad31e9e7, 	 1, 		1, 			1, 			1, 		0, 		0 
a8bbb546, 0b4ddaee, 80000000, 80000000, 	 1, 		0, 			0, 			1, 		0, 		1 
e053c85b, 642fb9a7, ff800000, ff800000, 	 1, 		0, 			0, 			1, 		1, 		0 
85586575, e530d4f5, 2b1579c3, 2b1579c3, 	 1, 		1, 			0, 			1, 		0, 		0 
b2c6e994, 89e74dbd, 00000000, 00000000, 	 1, 		0, 			0, 			1, 		0, 		1 
a3d8e1fa, 7cbd2c58, e1204466, e1204466, 	 1, 		1, 			1, 			1, 		0, 		0 
92d03e9f, 11e5ce28, 80000000, 80000000, 	 1, 		0, 			0, 			1, 		0, 		1 
6c89fc74, 69daecd8, 7f800000, 7f800000, 	 1, 		0, 			0, 			1, 		1, 		0 
3a3459f9, 89dd2978, 849bcee2, 849bcee2, 	 1, 		1, 			1, 			1, 		0, 		0 
96209abd, bbdb16d6, 128972b3, 128972b3, 	 1, 		0, 			1, 			1, 		0, 		0 
f88e5d32, f73c7e2e, 7f800000, 7f800000, 	 1, 		0, 			0, 			1, 		1, 		0 
946a89d9, fc6f2cdb, 515b1fc9, 515b1fc9, 	 1, 		1, 			1, 			1, 		0, 		0 
d81d8654, 96d882eb, 2f8539e5, 2f8539e5, 	 1, 		1, 			1, 			1, 		0, 		0 
c9d67858, aeb5e9ed, 39186710, 39186710, 	 1, 		0, 			1, 			1, 		0, 		0 
cf612082, efc5aea3, 7f800000, 7f800000, 	 1, 		0, 			0, 			1, 		1, 		0 
8de0e5cb, 44fa2f74, 935bca18, 935bca18, 	 1, 		0, 			1, 			1, 		0, 		0 
d6462f79, 6f79a5f6, ff800000, ff800000, 	 1, 		0, 			0, 			1, 		1, 		0 
32638cc1, 6228dd03, 551618d1, 551618d1, 	 1, 		1, 			1, 			1, 		0, 		0 
093bff02, 1ebad826, 00000000, 00000000, 	 1, 		0, 			0, 			1, 		0, 		1 
8d88bd08, a800f8d0, 00000000, 00000000, 	 1, 		0, 			0, 			1, 		0, 		1 
9d423d15, 380bcee7, 95d4284d, 95d4284d, 	 1, 		1, 			1, 			1, 		0, 		0 
72ddc04a, 6e16c666, 7f800000, 7f800000, 	 1, 		0, 			0, 			1, 		1, 		0 
e23106a0, e73df48b, 7f800000, 7f800000, 	 1, 		0, 			0, 			1, 		1, 		0 
d1044abd, 9ad1e5d6, 2c58ef93, 2c58ef93, 	 1, 		0, 			1, 			1, 		0, 		0 
b9f3f4dc, b83193aa, 32a93903, 32a93903, 	 1, 		1, 			1, 			1, 		0, 		0 
44686d21, cfe1c4eb, d4ccfab2, d4ccfab2, 	 1, 		1, 			1, 			1, 		0, 		0 
186f131f, c7133ec3, a0098297, a0098297, 	 1, 		1, 			0, 			1, 		0, 		0 
2fadef7f, 42a41b2a, 32deffc4, 32deffc4, 	 1, 		0, 			1, 			1, 		0, 		0 
79e7f52c, 3357c2bf, 6dc37f5c, 6dc37f5c, 	 1, 		1, 			1, 			1, 		0, 		0 
a1aac0e1, f0c620d1, 53042711, 53042711, 	 1, 		1, 			0, 			1, 		0, 		0 
adc511e5, 45337457, b38a2512, b38a2512, 	 1, 		0, 			1, 			1, 		0, 		0 
08792acb, d6c6d90e, 9fc18a5b, 9fc18a5b, 	 1, 		1, 			1, 			1, 		0, 		0 
d6eccb0d, 9040d5e1, 27b25e1e, 27b25e1e, 	 1, 		1, 			1, 			1, 		0, 		0 
8ff20abc, c6434bbc, 16b8a5c8, 16b8a5c8, 	 1, 		0, 			0, 			1, 		0, 		0 
d3f21ef6, b49d4379, 4914bccd, 4914bccd, 	 1, 		0, 			1, 			1, 		0, 		0 
22a1bcc0, 83c6362a, 80000000, 80000000, 	 1, 		0, 			0, 			1, 		0, 		1 
7c073d2b, 46a5e7e6, 7f800000, 7f800000, 	 1, 		0, 			0, 			1, 		1, 		0 
a6f256fd, d9fcb4cc, 416f38c7, 416f38c7, 	 1, 		0, 			1, 			1, 		0, 		0 
c2022e65, 7584526f, f80693ae, f80693ae, 	 1, 		1, 			1, 			1, 		0, 		0 
c964ca7c, 5ed40c94, e8bd82ec, e8bd82ec, 	 1, 		0, 			1, 			1, 		0, 		0 
29cd3d58, 7d37d862, 67936454, 67936454, 	 1, 		0, 			1, 			1, 		0, 		0 
04c68542, 40da2a61, 06292e57, 06292e57, 	 1, 		0, 			1, 			1, 		0, 		0 
d4a7dcbc, e7024be2, 7c2adfb2, 7c2adfb2, 	 1, 		1, 			1, 			1, 		0, 		0 
8fa85e42, 061f0b19, 80000000, 80000000, 	 1, 		0, 			0, 			1, 		0, 		1 
e1d8c8cb, ccc4ec1f, 6f26c1ae, 6f26c1ae, 	 1, 		1, 			1, 			1, 		0, 		0 
a3e572ca, 49ee2c50, ae55786f, ae55786f, 	 1, 		0, 			1, 			1, 		0, 		0 
f8544c2b, abf3d9e9, 64ca3902, 64ca3902, 	 1, 		1, 			0, 			1, 		0, 		0 
2828cfa0, ec52c0e7, d50af985, d50af985, 	 1, 		0, 			1, 			1, 		0, 		0 
18805e0a, f97c7e1a, d27d379a, d27d379a, 	 1, 		0, 			1, 			1, 		0, 		0 
ae45f947, 5f155a50, cde6ffdb, cde6ffdb, 	 1, 		1, 			1, 			1, 		0, 		0 
e933f01c, 195de552, c31bf777, c31bf777, 	 1, 		1, 			0, 			1, 		0, 		0 
4481dd35, a832f771, ad3592a9, ad3592a9, 	 1, 		0, 			1, 			1, 		0, 		0 
71f9ab88, 5ac03d5a, 7f800000, 7f800000, 	 1, 		0, 			0, 			1, 		1, 		0 
b3365e28, 81b63567, 00000000, 00000000, 	 1, 		0, 			0, 			1, 		0, 		1 
cd1a40ea, 53e7a57c, e18b9449, e18b9449, 	 1, 		1, 			1, 			1, 		0, 		0 
ed540eff, 9eab45f1, 4c8ddff4, 4c8ddff4, 	 1, 		0, 			0, 			1, 		0, 		0 
edbe2266, 607b260b, ff800000, ff800000, 	 1, 		0, 			0, 			1, 		1, 		0 
e299890a, 71fe00b9, ff800000, ff800000, 	 1, 		0, 			0, 			1, 		1, 		0 
8bd6ef8b, 59e01d9d, a63c2a76, a63c2a76, 	 1, 		1, 			0, 			1, 		0, 		0 
46cc93ee, 8e4fbe90, 95a603e6, 95a603e6, 	 1, 		0, 			1, 			1, 		0, 		0 
85ed1d7b, 9baeb953, 00000000, 00000000, 	 1, 		0, 			0, 			1, 		0, 		1 
684305ab, b051a06f, d91fb1d8, d91fb1d8, 	 1, 		1, 			1, 			1, 		0, 		0 
78c4415a, b6bf7d75, f012ccef, f012ccef, 	 1, 		1, 			1, 			1, 		0, 		0 
dedc3dbe, 34afde48, d4174d70, d4174d70, 	 1, 		0, 			1, 			1, 		0, 		0 
9e9edf56, 0c451f7b, 80000000, 80000000, 	 1, 		0, 			0, 			1, 		0, 		1 
0e60673d, a65db587, 80000000, 80000000, 	 1, 		0, 			0, 			1, 		0, 		1 
e4763441, f9af5778, 7f800000, 7f800000, 	 1, 		0, 			0, 			1, 		1, 		0 
15c0cc21, 00bbea86, 00000000, 00000000, 	 1, 		0, 			0, 			1, 		0, 		1 
b62fb23b, 019eb83f, 80000000, 80000000, 	 1, 		0, 			0, 			1, 		0, 		1 
459c5e58, 4fac694f, 55d29f6c, 55d29f6c, 	 1, 		0, 			1, 			1, 		0, 		0 
f81b3dc5, 270ddd62, dfac0e8a, dfac0e8a, 	 1, 		1, 			0, 			1, 		0, 		0 
5225f1d1, 7ceec9e9, 7f800000, 7f800000, 	 1, 		0, 			0, 			1, 		1, 		0 
dab94cd5, a18c98a7, 3ccb8905, 3ccb8905, 	 1, 		1, 			1, 			1, 		0, 		0 
8d37077c, f6120a01, 43d0d2d7, 43d0d2d7, 	 1, 		0, 			1, 			1, 		0, 		0 
e8b465fb, f8951801, 7f800000, 7f800000, 	 1, 		0, 			0, 			1, 		1, 		0 
cb3dd563, 7730578b, ff800000, ff800000, 	 1, 		0, 			0, 			1, 		1, 		0 
d999071c, 9e76374d, 38932de3, 38932de3, 	 1, 		0, 			1, 			1, 		0, 		0 
2e0d4062, 4a3b6e66, 38ced5e3, 38ced5e3, 	 1, 		0, 			0, 			1, 		0, 		0 
c9675556, 79c23316, ff800000, ff800000, 	 1, 		0, 			0, 			1, 		1, 		0 
4654d3e1, 04029863, 0ad92490, 0ad92490, 	 1, 		1, 			1, 			1, 		0, 		0 
29e421eb, 09c75150, 00000000, 00000000, 	 1, 		0, 			0, 			1, 		0, 		1 
1d8c7c5f, 754a8e51, 535e5078, 535e5078, 	 1, 		1, 			1, 			1, 		0, 		0 
0bda96a8, 103c7c3e, 00000000, 00000000, 	 1, 		0, 			0, 			1, 		0, 		1 
cec7b85f, f3ec1adf, 7f800000, 7f800000, 	 1, 		0, 			0, 			1, 		1, 		0 
e6ec2637, 72a22511, ff800000, ff800000, 	 1, 		0, 			0, 			1, 		1, 		0 
4ee73c7b, 55b283b6, 65213f05, 65213f05, 	 1, 		1, 			1, 			1, 		0, 		0 
733f80f8, 6a63c436, 7f800000, 7f800000, 	 1, 		0, 			0, 			1, 		1, 		0 
20f824c7, f7cadcdb, d944a318, d944a318, 	 1, 		1, 			1, 			1, 		0, 		0 
b8978357, 4ac7e36a, c3ec9b61, c3ec9b61, 	 1, 		1, 			1, 			1, 		0, 		0 
3be505dd, 5ac864c7, 573346bc, 573346bc, 	 1, 		1, 			1, 			1, 		0, 		0 
c5caac48, 3fb21ac5, c60d00fb, c60d00fb, 	 1, 		1, 			0, 			1, 		0, 		0 
191ffdab, fe9ebd49, d84669b6, d84669b6, 	 1, 		1, 			1, 			1, 		0, 		0 
